incrementum,0.0,0.0,0.0,0.0,0.001,0.0,3.0,0.000333333333333333,0.001,0.0,3.0,0.000333333333333333,63.003236384233865,1384.0,4000.0,4000.0,1226,0.045522569641787476,0,1.3333333333333333,0.0
strange-attractors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1,0.0,0,0.0,
neo-tokyo-identities,30.0,0.0,1.0,30.0,333.7401,1.0141225105612552,8.0,41.7175125,2177.8681000000006,-0.4315356207310058,85.0,25.62197764705883,13379.995464958127,1044.0,2018.0,2018.0,76,12.816087610113149,1,84185.940225,28.0
non-fungible-soup,0.04,0.0,2.0,0.02,0.28900000000000003,-0.539368823716927,10.0,0.028900000000000006,2.1255500000000005,-0.35281490728223874,54.0,0.03936203703703704,501.7210651610332,2019.0,2048.0,2048.0,1087,0.24849978462656425,0,59.187200000000004,0.04
pudgy-halloween,0.0267,0.6687500000000001,3.0,0.008900000000000002,0.18109989999999998,0.6862188081936682,13.0,0.013930761538461537,0.6694499000000003,-0.908919841814771,41.0,0.016328046341463422,22.636556788887994,321.0,3.0,3.0,1313,0.0705188685012087,0,0.04179228461538461,0.016
etherlambos,0.6,0.0,1.0,0.6,27.964000000000006,1.6281954887218049,35.0,0.7989714285714288,58.29,0.6803597682262392,76.0,0.7669736842105263,3350.1234609527673,1608.0,1600.0,1600.0,736,2.0834101125328157,0,1278.3542857142859,0.59
revenants-by-alethea-ai,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,59.5,-0.2916666666666667,2.0,29.75,2707.0730653746086,112.0,100.0,100.0,70,24.170295226559006,3,0.0,33.0
capsule-house,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.1820000000000002,12.0,39.0,39.0,7,0.09850000000000002,1,0.0,0.08
mojimon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,1.0,7.0,7.0,2,0.001,0,0.0,0.0009961337042795188
template,0.021488,9.924250127097102,27.0,0.000795851851851852,0.158455,-0.12893743498764762,84.0,0.001886369047619048,0.5834150101010004,-0.8262042330420922,258.0,0.002261298488763567,1667.7788713035204,5865.0,8992.0,8992.0,2061,0.28436127387954313,35,16.962230476190477,0.01
headdao,3.5139999999999993,0.5663732383928685,24.0,0.14641666666666664,25.286208899999995,0.2395151832737896,204.0,0.12395200441176468,102.62110889990002,-0.8303754818258479,766.0,0.13397011605731074,5805.349089829603,16068.0,10000.0,10000.0,1190,0.3612987982219071,7,1239.5200441176469,0.149
